ab｜복근,종류,수준
rev｜엔진회전수,낱말,
rib｜갈비,낱말,
rid｜없애다,낱말,
rim｜테두리,낱말,
rip｜찢다,낱말,
rob｜훔치다,낱말,
roc｜로크(신화새),낱말,
rod｜막대,낱말,
roe｜어란,낱말,
rot｜썩다,낱말,
row｜줄/노젓다,낱말,
rub｜문지르다,낱말,
rue｜후회하다,낱말,
rug｜양탄자,낱말,
rum｜럼주,낱말,
run｜달리다,낱말,
rut｜바퀴자국,낱말,
rye｜호밀,낱말,
sac｜주머니(해부),낱말,
sad｜슬픈,낱말,
sag｜처지다,낱말,
sap｜수액,낱말,
sat｜앉았다,낱말,
saw｜보았다/톱,낱말,
saw｜톱/보았다,낱말,
say｜말하다,낱말,
sea｜바다,낱말,
sec｜초(단위),낱말,
sen｜센(화폐),낱말,
set｜설정하다,낱말,
sew｜바느질하다,낱말,
she｜그녀,낱말,
shy｜수줍은,낱말,
sin｜죄,낱말,
sip｜홀짝이다,낱말,
sir｜선생님,낱말,
sit｜앉다,낱말,
six｜여섯,낱말,
ska｜스카(음악),낱말,
skim｜걷어내다,낱말,
ski｜스키,낱말,
sky｜하늘,낱말,
sly｜교활한,낱말,
sob｜흐느끼다,낱말,
sod｜잔디,낱말,
sol｜태양(음계),낱말,
son｜아들,낱말,
sop｜달래다,낱말,
sot｜주정뱅이,낱말,
sow｜씨뿌리다,낱말,
soy｜콩,낱말,
spa｜스파,낱말,
spy｜스파이,낱말,
sri｜씨(존칭),낱말,
sty｜돼지우리,낱말,
sub｜잠수함,낱말,
sue｜고소하다,낱말,
sum｜합계,낱말,
sun｜태양,낱말,
sup｜저녁먹다,낱말,
tab｜탭,낱말,
tad｜조금,낱말,
tan｜황갈색,낱말,
tap｜두드리다,낱말,
tar｜타르,낱말,
tat｜싸구려물건,낱말,
tau｜타우(그리스어),낱말,
tax｜세금,낱말,
tea｜차(음료),낱말,
ten｜열,낱말,
ten｜열(숫자),낱말,
the｜그(관사),낱말,
thy｜너의(고어),낱말,
tic｜틱(경련),낱말,
tie｜묶다/넥타이,낱말,
til｜깨(식물),낱말,
tin｜주석,낱말,
tip｜팁/조언,낱말,
tod｜덤불,낱말,
toe｜발가락,낱말,
ton｜톤,낱말,
too｜너무/또한,낱말,
top｜꼭대기,낱말,
tor｜바위봉우리,낱말,
tot｜어린아이,낱말,
tow｜끌다,낱말,
toy｜장난감,낱말,
try｜시도하다,낱말,
tub｜욕조,낱말,
tug｜당기다,낱말,
two｜둘,낱말,
ugh｜으(역겨움),낱말,
uni｜대학(속어),낱말,
urn｜항아리,낱말,
use｜사용,낱말,
use｜사용하다,낱말,
van｜밴,낱말,
van｜밴(차),낱말,
vat｜큰통,낱말,
vet｜수의사,낱말,
vex｜짜증나게하다,낱말,
vid｜비디오(속어),낱말,
vie｜경쟁하다,낱말,
vim｜활력,낱말,
vow｜맹세,낱말,
wad｜묶음,낱말,
wag｜흔들다,낱말,
wan｜창백한,낱말,
war｜전쟁,낱말,
wat｜불교사원,낱말,
web｜거미줄/웹,낱말,
web｜웹,낱말,
wed｜결혼,낱말,
wed｜결혼하다,낱말,
wee｜아주작은,낱말,
wet｜젖은,낱말,
who｜누구,낱말,
why｜왜,낱말,
wig｜가발,낱말,
win｜이기다,낱말,
wit｜재치,낱말,
wiz｜마법사,낱말,
woe｜슬픔,낱말,
wok｜웍(냄비),낱말,
won｜이겼다,낱말,
woo｜구애하다,낱말,
wow｜와,낱말,
wow｜와(감탄사),낱말,
yak｜야크,낱말,
yam｜고구마,낱말,
yap｜짖다,낱말,
yep｜응(구어),낱말,
yes｜예,낱말,
yet｜아직,낱말,
yew｜주목나무,낱말,
yip｜낑낑거리다,낱말,
yob｜불량배,낱말,
you｜너,낱말,
zap｜없애다,낱말,
zip｜지퍼,낱말,
zit｜여드름,낱말,
zoo｜동물원,낱말,
able｜할수있는,낱말,
ache｜아프다,낱말,
acid｜산성,낱말,
acne｜여드름,낱말,
acre｜에이커,낱말,
acts｜행동들,낱말,
aged｜나이든,낱말,
ages｜나이들,낱말,
aide｜보좌관,낱말,
aims｜목표들,낱말,
airs｜공기들,낱말,
airy｜통풍되는,낱말,
akin｜비슷한,낱말,
also｜또한,낱말,
alto｜알토,낱말,
ankh｜십자가,낱말,
ankl｜발목,낱말,
ante｜판돈,낱말,
arch｜아치,낱말,
area｜지역,낱말,
army｜군대,낱말,
aunt｜이모/고모,낱말,
auto｜자동,낱말,
avid｜열렬한,낱말,
away｜멀리,낱말,
awed｜경외한,낱말,
axes｜도끼들,낱말,
axis｜축,낱말,
baby｜아기,낱말,
back｜뒤,낱말,
bail｜보석금,낱말,
bait｜미끼,낱말,
bake｜굽다,낱말,
bald｜대머리,낱말,
ball｜공,낱말,
band｜밴드,낱말,
bang｜쾅,낱말,
bank｜은행,낱말,
barn｜헛간,낱말,
base｜기초,낱말,
bash｜강타,낱말,
bath｜목욕,낱말,
bead｜구슬,낱말,
beak｜부리,낱말,
beam｜빔/광선,낱말,
bean｜콩,낱말,
bear｜곰/참다,낱말,
beat｜치다,낱말,
beef｜소고기,낱말,
been｜있었다,낱말,
beer｜맥주,낱말,
bell｜종,낱말,
belt｜벨트,낱말,
bend｜구부리다,낱말,
best｜최고,낱말,
bike｜자전거,낱말,
bill｜청구서,낱말,
bind｜묶다,낱말,
bird｜새,낱말,
bite｜물다,낱말,
blab｜수다떨다,낱말,
blew｜불었다,낱말,
blob｜덩어리,낱말,
blog｜블로그,낱말,
blow｜불다,낱말,
blue｜파란,낱말,
blur｜흐릿하다,낱말,
boar｜수퇘지,낱말,
boat｜배,낱말,
body｜몸,낱말,
boil｜끓이다,낱말,
bold｜굵은/용감한,낱말,
bolt｜볼트,낱말,
bomb｜폭탄,낱말,
bond｜유대,낱말,
bone｜뼈,낱말,
book｜책,낱말,
boom｜붐/폭발음,낱말,
boot｜부츠,낱말,
bore｜지루하게하다,낱말,
born｜태어난,낱말,
boss｜상사,낱말,
both｜둘다,낱말,
bowl｜그릇,낱말,
bulk｜대량,낱말,
bull｜황소,낱말,
bump｜충돌,낱말,
burn｜타다,낱말,
bury｜묻다,낱말,
bush｜덤불,낱말,
busy｜바쁜,낱말,
buzz｜윙윙거리다,낱말,
cafe｜카페,낱말,
cage｜새장,낱말,
cake｜케이크,낱말,
calf｜송아지,낱말,
call｜전화/부르다,낱말,
calm｜차분한,낱말,
came｜왔다,낱말,
camp｜캠프,낱말,
cane｜지팡이,낱말,
card｜카드,낱말,
care｜돌봄,낱말,
cart｜수레,낱말,
case｜경우/사건,낱말,
cash｜현금,낱말,
cast｜던지다,낱말,
cave｜동굴,낱말,
cell｜세포/방,낱말,
cent｜센트,낱말,
chat｜채팅,낱말,
chef｜요리사,낱말,
chin｜턱,낱말,
chip｜칩,낱말,
chop｜자르다,낱말,
city｜도시,낱말,
clap｜박수,낱말,
clay｜점토,낱말,
clip｜자르다,낱말,
club｜클럽,낱말,
clue｜단서,낱말,
coal｜석탄,낱말,
coat｜코트,낱말,
code｜코드,낱말,
coil｜코일,낱말,
coin｜동전,낱말,
cold｜추운,낱말,
comb｜빗,낱말,
come｜오다,낱말,
cook｜요리하다,낱말,
cool｜시원한,낱말,
cope｜대처하다,낱말,
copy｜복사,낱말,
cord｜줄,낱말,
core｜핵심,낱말,
corn｜옥수수,낱말,
cost｜비용,낱말,
cozy｜아늑한,낱말,
crab｜게,낱말,
crew｜승무원,낱말,
crop｜작물,낱말,
crow｜까마귀,낱말,
cube｜정육면체,낱말,
cure｜치료,낱말,
curl｜곱슬,낱말,
cute｜귀여운,낱말,
dado｜주춧대,낱말,
dark｜어두운,낱말,
dart｜다트,낱말,
dash｜대시/달리다,낱말,
data｜데이터,낱말,
date｜날짜,낱말,
dawn｜새벽,낱말,
days｜날들,낱말,
dead｜죽은,낱말,
deaf｜귀머거리,낱말,
deal｜거래,낱말,
dear｜사랑하는,낱말,
debt｜빚,낱말,
deck｜갑판,낱말,
deed｜행동,낱말,
deep｜깊은,낱말,
deer｜사슴,낱말,
desk｜책상,낱말,
dial｜다이얼,낱말,
dice｜주사위,낱말,
diet｜식단,낱말,
dime｜10센트,낱말,
dine｜식사하다,낱말,
dire｜심각한,낱말,
dirt｜먼지,낱말,
dish｜요리/접시,낱말,
disk｜디스크,낱말,
dive｜다이빙,낱말,
dock｜부두,낱말,
does｜한다,낱말,
dome｜돔,낱말,
done｜완료된,낱말,
door｜문,낱말,
dose｜복용량,낱말,
dove｜비둘기,낱말,
down｜아래,낱말,
drag｜끌다,낱말,
draw｜그리다,낱말,
drew｜그렸다,낱말,
drip｜떨어지다,낱말,
drop｜떨어뜨리다,낱말,
drug｜약,낱말,
drum｜드럼,낱말,
dual｜이중의,낱말,
dull｜둔한,낱말,
dump｜버리다,낱말,
dune｜모래언덕,낱말,
dusk｜황혼,낱말,
dust｜먼지,낱말,
duty｜의무,낱말,
each｜각각,낱말,
earl｜백작,낱말,
earn｜벌다,낱말,
ease｜편안함,낱말,
east｜동쪽,낱말,
easy｜쉬운,낱말,
edge｜가장자리,낱말,
edit｜편집하다,낱말,
else｜다른,낱말,
even｜심지어/평평한,낱말,
ever｜언제나,낱말,
evil｜악한,낱말,
exam｜시험,낱말,
face｜얼굴,낱말,
fact｜사실,낱말,
fail｜실패하다,낱말,
fair｜공평한,낱말,
fall｜떨어지다,낱말,
fame｜명성,낱말,
farm｜농장,낱말,
fast｜빠른,낱말,
fate｜운명,낱말,
feel｜느끼다,낱말,
feet｜발들,낱말,
fell｜떨어졌다,낱말,
felt｜느꼈다,낱말,
file｜파일,낱말,
fill｜채우다,낱말,
film｜영화,낱말,
find｜찾다,낱말,
fine｜좋은/벌금,낱말,
fire｜불,낱말,
firm｜회사/단단한,낱말,
fish｜물고기,낱말,
fist｜주먹,낱말,
flag｜깃발,낱말,
flat｜평평한,낱말,
flaw｜결함,낱말,
flew｜날았다,낱말,
flip｜뒤집다,낱말,
flow｜흐르다,낱말,
foam｜거품,낱말,
fold｜접다,낱말,
folk｜사람들,낱말,
fond｜좋아하는,낱말,
food｜음식,낱말,
fool｜바보,낱말,
foot｜발,낱말,
fork｜포크,낱말,
form｜형태,낱말,
fort｜요새,낱말,
foul｜더러운,낱말,
free｜자유로운,낱말,
fuel｜연료,낱말,
full｜가득찬,낱말,
fume｜연기,낱말,
fund｜자금,낱말,
fuse｜퓨즈,낱말,
gain｜얻다,낱말,
game｜게임,낱말,
gang｜무리,낱말,
gate｜문,낱말,
gave｜주었다,낱말,
gaze｜응시하다,낱말,
gear｜기어,낱말,
gift｜선물,낱말,
girl｜소녀,낱말,
give｜주다,낱말,
glad｜기쁜,낱말,
glow｜빛나다,낱말,
glue｜풀,낱말,
goal｜목표,낱말,
goes｜간다,낱말,
gold｜금,낱말,
golf｜골프,낱말,
good｜좋은,낱말,
gown｜드레스,낱말,
grab｜잡다,낱말,
gray｜회색,낱말,
grew｜자랐다,낱말,
grid｜격자,낱말,
grin｜미소짓다,낱말,
grip｜잡다,낱말,
grow｜자라다,낱말,
gulf｜만(灣),낱말,
gust｜돌풍,낱말,
guys｜남자들,낱말,
hack｜자르다,낱말,
hail｜우박,낱말,
hair｜머리카락,낱말,
half｜절반,낱말,
hall｜복도,낱말,
hand｜손,낱말,
hang｜걸다,낱말,
hard｜단단한,낱말,
harm｜해를끼치다,낱말,
harp｜하프,낱말,
hate｜싫어하다,낱말,
have｜가지다,낱말,
hawk｜매,낱말,
head｜머리,낱말,
heal｜치유하다,낱말,
heap｜더미,낱말,
hear｜듣다,낱말,
heat｜열,낱말,
heel｜뒤꿈치,낱말,
held｜잡았다,낱말,
help｜돕다,낱말,
herb｜허브,낱말,
here｜여기,낱말,
hero｜영웅,낱말,
hide｜숨다,낱말,
high｜높은,낱말,
hike｜하이킹,낱말,
hill｜언덕,낱말,
hint｜힌트,낱말,
hire｜고용하다,낱말,
hold｜잡다,낱말,
hole｜구멍,낱말,
holy｜신성한,낱말,
home｜집,낱말,
hood｜후드,낱말,
hook｜갈고리,낱말,
hope｜희망,낱말,
horn｜뿔/경적,낱말,
host｜주최자,낱말,
hour｜시간,낱말,
huge｜거대한,낱말,
hull｜선체,낱말,
hung｜걸렸다,낱말,
hunt｜사냥하다,낱말,
hurt｜다치다,낱말,
hymn｜찬송가,낱말,
icon｜아이콘,낱말,
idea｜아이디어,낱말,
idle｜게으른,낱말,
inch｜인치,낱말,
iron｜철/다리미,낱말,
isle｜섬,낱말,
item｜항목,낱말,
jail｜감옥,낱말,
jazz｜재즈,낱말,
jerk｜멍청이/잡아당기다,낱말,
jest｜농담,낱말,
join｜참여하다,낱말,
joke｜농담,낱말,
jump｜뛰다,낱말,
junk｜쓰레기,낱말,
just｜단지/공정한,낱말,
keen｜열심인,낱말,
keep｜유지하다,낱말,
kick｜차다,낱말,
kind｜친절한/종류,낱말,
king｜왕,낱말,
kiss｜키스,낱말,
kite｜연,낱말,
knew｜알았다,낱말,
knit｜뜨개질,낱말,
knob｜손잡이,낱말,
knot｜매듭,낱말,
know｜알다,낱말,
lack｜부족하다,낱말,
laid｜놓았다,낱말,
lake｜호수,낱말,
lamp｜램프,낱말,
land｜땅,낱말,
lane｜차선,낱말,
lark｜종달새,낱말,
lash｜채찍질,낱말,
last｜마지막,낱말,
late｜늦은,낱말,
lawn｜잔디,낱말,
lazy｜게으른,낱말,
lead｜이끌다,낱말,
leaf｜잎,낱말,
leak｜새다,낱말,
lean｜기대다,낱말,
leap｜뛰다,낱말,
left｜왼쪽,낱말,
lend｜빌려주다,낱말,
lens｜렌즈,낱말,
less｜덜,낱말,
liar｜거짓말쟁이,낱말,
lick｜핥다,낱말,
life｜삶,낱말,
lift｜들어올리다,낱말,
like｜좋아하다,낱말,
lime｜라임,낱말,
limp｜절뚝거리다,낱말,
line｜선,낱말,
link｜연결,낱말,
lion｜사자,낱말,
list｜목록,낱말,
live｜살다,낱말,
load｜짐,낱말,
loan｜대출,낱말,
lock｜잠그다,낱말,
loft｜다락방,낱말,
long｜긴,낱말,
look｜보다,낱말,
loop｜고리,낱말,
lord｜주님,낱말,
lore｜전설,낱말,
lose｜잃다,낱말,
loss｜손실,낱말,
lost｜잃어버린,낱말,
love｜사랑,낱말,
luck｜운,낱말,
lump｜덩어리,낱말,
lung｜폐,낱말,
lure｜유혹하다,낱말,
made｜만들었다,낱말,
mail｜우편,낱말,
main｜주요한,낱말,
make｜만들다,낱말,
male｜남성,낱말,
mall｜쇼핑몰,낱말,
mane｜갈기,낱말,
many｜많은,낱말,
mark｜표시,낱말,
mask｜마스크,낱말,
mass｜질량/대중,낱말,
mast｜돛대,낱말,
mate｜짝,낱말,
math｜수학,낱말,
maze｜미로,낱말,
meal｜식사,낱말,
mean｜의미하다,낱말,
meat｜고기,낱말,
meet｜만나다,낱말,
melt｜녹다,낱말,
memo｜메모,낱말,
menu｜메뉴,낱말,
mere｜단순한,낱말,
mesh｜그물망,낱말,
mild｜온화한,낱말,
milk｜우유,낱말,
mill｜공장,낱말,
mind｜마음,낱말,
mine｜나의것/광산,낱말,
mint｜박하,낱말,
miss｜그리워하다,낱말,
mist｜안개,낱말,
mode｜방식,낱말,
mold｜곰팡이,낱말,
monk｜수도사,낱말,
mood｜기분,낱말,
moon｜달,낱말,
more｜더,낱말,
most｜가장,낱말,
move｜움직이다,낱말,
much｜많은,낱말,
mule｜노새,낱말,
myth｜신화,낱말,
nail｜손톱/못,낱말,
name｜이름,낱말,
navy｜해군,낱말,
near｜가까운,낱말,
neck｜목,낱말,
need｜필요하다,낱말,
nest｜둥지,낱말,
news｜뉴스,낱말,
next｜다음,낱말,
nice｜좋은,낱말,
nine｜아홉,낱말,
node｜노드,낱말,
none｜아무것도없는,낱말,
noon｜정오,낱말,
norm｜기준,낱말,
nose｜코,낱말,
note｜메모,낱말,
noun｜명사,낱말,
nude｜나체,낱말,
null｜무효의,낱말,
numb｜마비된,낱말,
oath｜맹세,낱말,
obey｜복종하다,낱말,
once｜한번,낱말,
only｜오직,낱말,
open｜열다,낱말,
oral｜구두의,낱말,
oven｜오븐,낱말,
over｜위에/끝난,낱말,
pace｜속도,낱말,
pack｜포장하다,낱말,
page｜페이지,낱말,
paid｜지불된,낱말,
pain｜고통,낱말,
pair｜쌍,낱말,
pale｜창백한,낱말,
palm｜손바닥,낱말,
park｜공원,낱말,
